"id";"vpu_id";"decision";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at";"resource_type"
155;78;"scale_down";5.53;44.07;8.27;50.0;"";"";"";"78";"2026-06-20 11:21:45";"cpu"
157;79;"no_change";16.18;94.13;18.15;0.0;"";"";"";"79";"2026-06-20 11:21:45";"cpu"
159;80;"scale_down";4.05;52.53;6.68;25.0;"";"";"";"80";"2026-06-20 11:21:46";"cpu"
161;81;"no_change";7.12;83.83;10.59;0.0;"";"";"";"81";"2026-06-20 11:26:42";"cpu"
163;82;"no_change";6.15;75.7;10.77;0.0;"";"";"";"82";"2026-06-20 11:26:42";"cpu"
165;83;"scale_down";3.84;38.5;12.63;50.0;"";"";"";"83";"2026-06-20 11:26:42";"cpu"
167;84;"no_change";11.65;81.37;14.66;0.0;"";"";"";"84";"2026-06-20 11:26:42";"cpu"
169;85;"no_change";5.52;66.77;8.53;0.0;"";"";"";"85";"2026-06-20 11:26:42";"cpu"
171;86;"scale_down";8.85;59.07;4.45;25.0;"";"";"";"86";"2026-06-20 11:31:22";"cpu"
173;87;"scale_down";7.36;56.73;8.51;25.0;"";"";"";"87";"2026-06-20 11:31:22";"cpu"
175;88;"scale_down";13.83;51.23;2.65;25.0;"";"";"";"88";"2026-06-20 11:31:22";"cpu"
177;89;"scale_down";2.28;43.43;3.35;50.0;"";"";"";"89";"2026-06-20 11:31:22";"cpu"
179;90;"scale_down";1.85;52.53;2.93;25.0;"";"";"";"90";"2026-06-20 11:31:22";"cpu"
181;91;"scale_down";1.39;39.43;1.98;50.0;"";"";"";"91";"2026-06-20 11:36:08";"cpu"
183;92;"scale_down";1.13;12.3;1.55;50.0;"";"";"";"92";"2026-06-20 11:36:08";"cpu"
185;93;"no_change";27.76;75.0;36.93;0.0;"";"";"";"93";"2026-06-20 11:36:08";"cpu"
187;94;"scale_down";5.47;42.97;5.49;50.0;"";"";"";"94";"2026-06-20 11:36:08";"cpu"
189;95;"scale_down";3.87;49.7;5.54;25.0;"";"";"";"95";"2026-06-20 11:36:08";"cpu"
191;96;"scale_down";3.49;32.63;4.02;50.0;"";"";"";"96";"2026-06-20 11:41:15";"cpu"
193;97;"scale_down";3.78;43.0;4.19;50.0;"";"";"";"97";"2026-06-20 11:41:15";"cpu"
195;98;"scale_down";3.3;40.57;3.05;50.0;"";"";"";"98";"2026-06-20 11:41:16";"cpu"
197;99;"scale_down";2.34;45.3;2.14;25.0;"";"";"";"99";"2026-06-20 11:41:16";"cpu"
199;100;"scale_down";0.38;21.17;0.58;50.0;"";"";"";"100";"2026-06-20 11:41:16";"cpu"
201;101;"scale_down";4.09;45.07;5.82;25.0;"";"";"";"101";"2026-06-20 11:45:48";"cpu"
203;102;"scale_down";4.22;26.23;2.4;50.0;"";"";"";"102";"2026-06-20 11:45:48";"cpu"
205;103;"scale_down";5.04;48.57;3.73;25.0;"";"";"";"103";"2026-06-20 11:45:48";"cpu"
207;104;"scale_down";0.49;22.27;1.5;50.0;"";"";"";"104";"2026-06-20 11:45:48";"cpu"
209;105;"scale_down";3.95;48.97;4.32;25.0;"";"";"";"105";"2026-06-20 11:45:48";"cpu"
211;106;"scale_down";3.96;40.13;7.14;50.0;"";"";"";"106";"2026-06-20 11:50:30";"cpu"
213;107;"scale_down";1.82;38.0;4.79;50.0;"";"";"";"107";"2026-06-20 11:50:30";"cpu"
215;108;"scale_down";2.13;27.1;1.08;50.0;"";"";"";"108";"2026-06-20 11:50:30";"cpu"
217;109;"scale_down";4.73;28.43;7.1;50.0;"";"";"";"109";"2026-06-20 11:50:30";"cpu"
