"vm_id";"class";"cpu_count";"cpu_core_count";"ram"
202;"host252";4;1;32768
203;"host253";4;2;16384
204;"host254";3;1;16384
205;"host255";8;1;63889
206;"host256";4;1;16384
207;"host257";4;1;15730
208;"host258";2;2;16384
209;"host259";4;2;16384
210;"host260";4;2;16384
211;"host261";6;1;16384
212;"host262";6;1;24576
213;"host263";6;1;16384
214;"host264";6;1;32768
215;"host265";6;1;16384
216;"host266";1;1;3634
217;"host267";4;2;65536
218;"host268";4;2;65536
219;"host269";4;1;32768
220;"host270";4;1;16384
221;"host271";4;1;15950
222;"host272";1;2;8192
223;"host273";2;16;262112
224;"host274";2;2;16384
225;"host275";8;4;65536
226;"host276";2;12;131072
227;"host277";2;3;16384
228;"host278";6;2;16384
229;"host279";2;1;7654
230;"host280";2;4;24576
231;"host281";5;2;32768
232;"host282";2;16;128274
233;"host283";2;4;63762
234;"host284";1;4;15706
235;"host285";1;2;3666
236;"host286";1;3;8192
237;"host287";2;4;64306
238;"host288";2;1;15762
239;"host289";4;1;63890
240;"host290";2;2;7698
241;"host291";32;1;31882
242;"host292";1;2;7698
243;"host293";2;2;15762
244;"host294";1;4;65536
245;"host295";1;2;8192
246;"host296";2;4;40960
247;"host297";2;2;49152
248;"host298";1;8;65536
249;"host299";4;8;131072
250;"host300";1;8;49152
251;"host301";1;4;8192
252;"host302";1;2;8192
253;"host303";1;2;8192
254;"host304";2;8;131072
255;"host305";1;8;24576
256;"host306";1;4;16384
257;"host307";2;4;24576
258;"host308";1;8;16384
259;"host309";1;4;16384
260;"host310";2;8;75776
261;"host311";3;2;40960
262;"host312";1;4;24576
263;"host313";8;0;0
264;"host314";1;2;7698
265;"host315";3;2;16384
266;"host316";4;1;16384
267;"host317";4;1;8192
268;"host318";4;2;65536
269;"host319";1;2;8192
270;"host320";8;2;65536
271;"host321";2;2;49152
272;"host322";1;2;8192
273;"host323";1;4;32768
274;"host324";1;4;16384
275;"host325";2;8;131072
276;"host326";1;2;8192
277;"host327";2;2;12288
278;"host328";1;1;4096
279;"host329";1;4;8192
280;"host330";2;8;131072
281;"host331";6;1;16384
282;"host332";2;4;65536
283;"host333";2;2;16384
284;"host334";1;3;8192
285;"host335";2;3;8192
286;"host336";2;4;65536
287;"host337";1;4;65536
288;"host338";6;1;32768
289;"host339";2;2;32768
290;"host340";1;2;8192
291;"host341";1;8;49152
292;"host342";1;4;32768
293;"host343";1;2;8192
294;"host344";1;8;40960
295;"host345";4;4;131072
296;"host346";2;12;65536
297;"host347";4;2;65536
298;"host348";4;4;32768
299;"host349";1;4;32768
300;"host350";1;8;65536
301;"host351";1;8;65536
302;"host352";2;4;65536
303;"host353";2;2;24576
304;"host354";2;1;8192
305;"host355";1;2;8192
306;"host356";6;2;65536
307;"host357";1;2;8192
308;"host358";2;12;131072
309;"host359";2;12;131072
310;"host360";4;2;36864
311;"host361";6;1;32768
312;"host362";1;2;40960
313;"host363";1;4;12288
314;"host364";3;8;65536
315;"host365";4;6;131072
316;"host366";4;8;131072
317;"host367";4;6;131072
318;"host368";2;1;8192
319;"host369";4;1;32768
320;"host370";1;8;65536
321;"host371";3;8;65536
322;"host372";3;8;65536
323;"host373";1;8;65536
324;"host374";1;8;49152
325;"host375";3;8;131072
326;"host376";1;1;4096
327;"host377";3;8;131072
328;"host378";1;8;65536
329;"host379";4;1;32768
330;"host380";3;4;98304
331;"host381";2;1;8192
332;"host382";8;0;0
333;"host383";1;2;32768
334;"host384";4;2;32768
335;"host385";1;4;12288
336;"host386";1;8;122880
337;"host387";1;8;65536
338;"host388";4;1;32768
339;"host389";4;2;16384
340;"host390";4;1;32768
341;"host391";4;1;32768
342;"host392";1;4;16384
