"id";"vpu_id";"decision";"resource_type";"avg_usage";"max_usage";"forecasted_max";"scale_percent";"itis_ticket_number";"action_status";"remarks";"run_id";"created_at"
379;885;"scale_down";"memory";33.44;33.95;33.72;25.0;"";"";"";"381";"2026-06-21 11:36:18"
380;886;"no_change";"memory";22.0;22.5;57.55;0.0;"";"";"";"382";"2026-06-21 11:36:18"
381;887;"no_change";"memory";47.74;49.24;205.12;0.0;"";"";"";"383";"2026-06-21 11:39:29"
382;891;"no_change";"memory";56.12;56.62;59.62;0.0;"";"";"";"387";"2026-06-21 11:39:29"
383;892;"scale_down";"memory";38.07;38.36;39.0;25.0;"";"";"";"388";"2026-06-21 11:39:30"
384;893;"no_change";"memory";53.95;54.81;58.14;0.0;"";"";"";"389";"2026-06-21 11:39:30"
385;894;"no_change";"memory";50.42;51.53;45.58;0.0;"";"";"";"390";"2026-06-21 11:39:30"
386;895;"no_change";"memory";40.83;43.18;43.7;0.0;"";"";"";"391";"2026-06-21 11:42:32"
387;896;"no_change";"memory";51.63;53.63;54.12;0.0;"";"";"";"392";"2026-06-21 11:42:32"
388;897;"scale_down";"memory";35.78;37.9;41.48;25.0;"";"";"";"393";"2026-06-21 11:42:32"
389;898;"no_change";"memory";42.31;44.29;41.89;0.0;"";"";"";"394";"2026-06-21 11:42:33"
390;899;"no_change";"memory";67.39;69.25;70.01;0.0;"";"";"";"395";"2026-06-21 11:42:34"
391;900;"no_change";"memory";40.68;42.55;40.11;0.0;"";"";"";"396";"2026-06-21 11:45:23"
392;901;"no_change";"memory";50.49;53.83;49.49;0.0;"";"";"";"397";"2026-06-21 11:45:23"
393;902;"scale_down";"memory";33.17;34.9;31.9;25.0;"";"";"";"398";"2026-06-21 11:45:23"
394;903;"no_change";"memory";73.24;76.01;70.97;0.0;"";"";"";"399";"2026-06-21 11:45:24"
395;904;"scale_down";"memory";21.02;21.35;20.99;50.0;"";"";"";"400";"2026-06-21 11:45:24"
396;905;"scale_down";"memory";25.69;26.29;27.66;50.0;"";"";"";"401";"2026-06-21 11:48:30"
397;906;"scale_down";"memory";28.12;28.58;29.12;50.0;"";"";"";"402";"2026-06-21 11:48:30"
398;907;"scale_down";"memory";34.33;36.27;41.77;25.0;"";"";"";"403";"2026-06-21 11:48:31"
399;908;"scale_down";"memory";21.2;21.73;21.94;50.0;"";"";"";"404";"2026-06-21 11:48:31"
400;909;"no_change";"memory";65.57;67.71;58.91;0.0;"";"";"";"405";"2026-06-21 11:48:31"
401;910;"no_change";"memory";73.65;75.45;75.57;0.0;"";"";"";"406";"2026-06-21 11:51:51"
402;911;"no_change";"memory";62.44;64.44;50.64;0.0;"";"";"";"407";"2026-06-21 11:51:52"
403;912;"scale_down";"memory";29.53;30.82;30.4;50.0;"";"";"";"408";"2026-06-21 11:51:52"
404;913;"no_change";"memory";58.4;59.82;60.42;0.0;"";"";"";"409";"2026-06-21 11:51:52"
405;914;"no_change";"memory";73.27;75.21;81.33;0.0;"";"";"";"410";"2026-06-21 11:51:52"
