"vm_id";"vm_name";"cpu_count";"cpu_core_count";"ram";"hypervisor";"resize_type"
141;"host191";4;1;16384;"Hyper-v";"no_change"
142;"host192";4;1;8192;"Hyper-v";"no_change"
143;"host193";4;1;8192;"Hyper-v";"no_change"
144;"host194";2;1;20480;"Hyper-v";"no_change"
145;"host195";2;2;8192;"Hyper-v";"no_change"
146;"host196";1;6;24576;"Hyper-v";"no_change"
147;"host197";8;1;32768;"Hyper-v";"no_change"
148;"host198";4;1;24576;"Hyper-v";"no_change"
149;"host199";4;4;16384;"Hyper-v";"no_change"
150;"host200";4;4;16384;"Hyper-v";"no_change"
151;"host201";16;1;613037;"Hyper-v";"no_change"
152;"host202";16;1;214260;"Hyper-v";"no_change"
153;"host203";4;1;81920;"Hyper-v";"no_change"
154;"host204";6;1;24576;"Hyper-v";"no_change"
155;"host205";8;1;40960;"Hyper-v";"no_change"
156;"host206";2;1;12288;"Hyper-v";"no_change"
157;"host207";4;1;16384;"Hyper-v";"no_change"
158;"host208";4;1;16384;"Hyper-v";"no_change"
159;"host209";4;1;16384;"Hyper-v";"no_change"
160;"host210";8;1;32768;"Hyper-v";"no_change"
161;"host211";8;1;65536;"Hyper-v";"no_change"
162;"host212";8;1;65536;"Hyper-v";"no_change"
163;"host213";8;4;131072;"Hyper-v";"no_change"
164;"host214";4;1;16384;"Hyper-v";"no_change"
165;"host215";8;1;32768;"Hyper-v";"no_change"
166;"host216";16;1;200704;"Hyper-v";"no_change"
167;"host217";12;1;32768;"Hyper-v";"no_change"
168;"host218";8;1;32768;"Hyper-v";"no_change"
169;"host219";6;1;262144;"Hyper-v";"no_change"
170;"host220";6;1;12288;"Hyper-v";"no_change"
171;"host221";1;8;15680;"Hyper-v";"no_change"
172;"host222";8;1;32768;"Hyper-v";"no_change"
173;"host223";12;1;73728;"Hyper-v";"no_change"
174;"host224";2;5;32768;"Hyper-v";"no_change"
175;"host225";8;1;65536;"Hyper-v";"no_change"
176;"host226";2;1;12288;"Hyper-v";"no_change"
177;"host227";2;1;7698;"Hyper-v";"no_change"
178;"host228";3;2;16384;"Hyper-v";"no_change"
179;"host229";2;4;65536;"Hyper-v";"no_change"
180;"host230";1;2;8192;"Hyper-v";"no_change"
181;"host231";5;2;24576;"Hyper-v";"no_change"
182;"host232";8;1;16384;"Hyper-v";"no_change"
183;"host233";10;1;32768;"Hyper-v";"no_change"
184;"host234";5;2;24576;"Hyper-v";"no_change"
185;"host235";4;1;11706;"Hyper-v";"no_change"
186;"host236";1;1;4096;"Hyper-v";"no_change"
187;"host237";8;1;32768;"Hyper-v";"no_change"
188;"host238";8;1;32768;"Hyper-v";"no_change"
189;"host239";3;2;32768;"Hyper-v";"no_change"
190;"host240";1;2;8192;"Hyper-v";"no_change"
191;"host241";12;1;67584;"Hyper-v";"no_change"
192;"host242";2;16;131040;"Hyper-v";"no_change"
193;"host243";2;16;131040;"Hyper-v";"no_change"
194;"host244";0;1;0;"Hyper-v";"no_change"
195;"host245";2;2;16384;"Hyper-v";"no_change"
196;"host246";5;2;49152;"Hyper-v";"no_change"
197;"host247";6;1;32768;"Hyper-v";"no_change"
198;"host248";1;1;4096;"Hyper-v";"no_change"
199;"host249";16;1;262144;"Hyper-v";"no_change"
200;"host250";2;2;16384;"Hyper-v";"no_change"
201;"host251";2;2;12288;"Hyper-v";"no_change"
202;"host252";4;1;32768;"Hyper-v";"no_change"
203;"host253";4;2;16384;"Hyper-v";"no_change"
204;"host254";3;1;16384;"Hyper-v";"no_change"
205;"host255";8;1;63889;"Hyper-v";"no_change"
206;"host256";4;1;16384;"Hyper-v";"no_change"
207;"host257";4;1;15730;"Hyper-v";"no_change"
208;"host258";2;2;16384;"Hyper-v";"no_change"
209;"host259";4;2;16384;"Hyper-v";"no_change"
210;"host260";4;2;16384;"Hyper-v";"no_change"
211;"host261";6;1;16384;"Hyper-v";"no_change"
212;"host262";6;1;24576;"Hyper-v";"no_change"
213;"host263";6;1;16384;"Hyper-v";"no_change"
214;"host264";6;1;32768;"Hyper-v";"no_change"
215;"host265";6;1;16384;"Hyper-v";"no_change"
216;"host266";1;1;3634;"Hyper-v";"no_change"
217;"host267";4;2;65536;"Hyper-v";"no_change"
218;"host268";4;2;65536;"Hyper-v";"no_change"
219;"host269";4;1;32768;"Hyper-v";"no_change"
220;"host270";4;1;16384;"Hyper-v";"no_change"
221;"host271";4;1;15950;"Hyper-v";"no_change"
222;"host272";1;2;8192;"Hyper-v";"no_change"
223;"host273";2;16;262112;"Hyper-v";"no_change"
224;"host274";2;2;16384;"Hyper-v";"no_change"
225;"host275";8;4;65536;"Hyper-v";"no_change"
226;"host276";2;12;131072;"Hyper-v";"no_change"
227;"host277";2;3;16384;"Hyper-v";"no_change"
228;"host278";6;2;16384;"Hyper-v";"no_change"
229;"host279";2;1;7654;"Hyper-v";"no_change"
230;"host280";2;4;24576;"Hyper-v";"no_change"
231;"host281";5;2;32768;"Hyper-v";"no_change"
232;"host282";2;16;128274;"Hyper-v";"no_change"
233;"host283";2;4;63762;"Hyper-v";"no_change"
234;"host284";1;4;15706;"Hyper-v";"no_change"
235;"host285";1;2;3666;"Hyper-v";"no_change"
236;"host286";1;3;8192;"Hyper-v";"no_change"
237;"host287";2;4;64306;"Hyper-v";"no_change"
238;"host288";2;1;15762;"Hyper-v";"no_change"
239;"host289";4;1;63890;"Hyper-v";"no_change"
240;"host290";2;2;7698;"Hyper-v";"no_change"
241;"host291";32;1;31882;"Hyper-v";"no_change"
242;"host292";1;2;7698;"Hyper-v";"no_change"
243;"host293";2;2;15762;"Hyper-v";"no_change"
244;"host294";1;4;65536;"Hyper-v";"no_change"
245;"host295";1;2;8192;"Hyper-v";"no_change"
246;"host296";2;4;40960;"Hyper-v";"no_change"
247;"host297";2;2;49152;"Hyper-v";"no_change"
248;"host298";1;8;65536;"Hyper-v";"no_change"
249;"host299";4;8;131072;"Hyper-v";"no_change"
250;"host300";1;8;49152;"Hyper-v";"no_change"
251;"host301";1;4;8192;"Hyper-v";"no_change"
252;"host302";1;2;8192;"Hyper-v";"no_change"
253;"host303";1;2;8192;"Hyper-v";"no_change"
254;"host304";2;8;131072;"Hyper-v";"no_change"
255;"host305";1;8;24576;"Hyper-v";"no_change"
256;"host306";1;4;16384;"Hyper-v";"no_change"
257;"host307";2;4;24576;"Hyper-v";"no_change"
258;"host308";1;8;16384;"Hyper-v";"no_change"
259;"host309";1;4;16384;"Hyper-v";"no_change"
260;"host310";2;8;75776;"Hyper-v";"no_change"
261;"host311";3;2;40960;"Hyper-v";"no_change"
262;"host312";1;4;24576;"Hyper-v";"no_change"
263;"host313";8;0;0;"Hyper-v";"no_change"
264;"host314";1;2;7698;"Hyper-v";"no_change"
265;"host315";3;2;16384;"Hyper-v";"no_change"
266;"host316";4;1;16384;"Hyper-v";"no_change"
267;"host317";4;1;8192;"Hyper-v";"no_change"
268;"host318";4;2;65536;"Hyper-v";"no_change"
269;"host319";1;2;8192;"Hyper-v";"no_change"
270;"host320";8;2;65536;"Hyper-v";"no_change"
271;"host321";2;2;49152;"Hyper-v";"no_change"
272;"host322";1;2;8192;"Hyper-v";"no_change"
273;"host323";1;4;32768;"Hyper-v";"no_change"
274;"host324";1;4;16384;"Hyper-v";"no_change"
275;"host325";2;8;131072;"Hyper-v";"no_change"
276;"host326";1;2;8192;"Hyper-v";"no_change"
277;"host327";2;2;12288;"Hyper-v";"no_change"
278;"host328";1;1;4096;"Hyper-v";"no_change"
279;"host329";1;4;8192;"Hyper-v";"no_change"
280;"host330";2;8;131072;"Hyper-v";"no_change"
281;"host331";6;1;16384;"Hyper-v";"no_change"
282;"host332";2;4;65536;"Hyper-v";"no_change"
